use_sim_time,sim_length,graph,algo_name,init_bots,init_locations,random_string,avg_idle,done,max_idle,priority_nodes,time_periods,coefficients,depth,overshoot_avg,overshoot_max,avg_idle_pn,max_idle_pn
True,20000,grid_5_5,tpbp_util1,2,5 22,tpbp_util1_grid_5_5_28,228.7281872280842,False,752,5 22 3 21,60.0 60.0 60.0 60.0,1 10 0 0,5,0.7372,0.85305,162.14194629194378,556.0
True,20000,grid_5_5,tpbp_util1,3,20 16 3,tpbp_util1_grid_5_5_20,169.22718728127188,False,1060,0 16 3 20 15,80.0 80.0 80.0 80.0 80.0,1 10 0 0,5,0.52325,0.65905,110.46785321467851,641.0
True,20000,grid_5_5,tpbp_util1,4,14 3 8 23,tpbp_util1_grid_5_5_12,152.44136806840342,False,1000,14 8 3 23 10 9,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.616675,0.77665,99.11283064153208,548.0
True,20000,grid_5_5,tpbp_util1,1,15,tpbp_util1_grid_5_5_14,304.512552,False,1001,15 14 13 4 19,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.7569000000000001,0.8597,166.63924,553.0
True,20000,grid_5_5,tpbp_util1,4,17 0 1 12,tpbp_util1_grid_5_5_24,169.6143381507226,False,1045,17 21 1 0 12 20,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.5286583333333333,0.6709,96.5332049807471,385.0
True,20000,grid_5_5,tpbp_util1,1,8,tpbp_util1_grid_5_5_3,288.4200470258642,False,1457,8 15 18 0 9 6,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.8678166666666666,0.9154,218.6112778694949,775.0
True,20000,grid_5_5,tpbp_util1,3,16 19 0,tpbp_util1_grid_5_5_32,160.24529505901182,False,1696,16 19 0 12 8,40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.7324599999999999,0.79295,130.29399879975995,673.0
True,20000,grid_5_5,tpbp_util1,2,8 3,tpbp_util1_grid_5_5_5,238.2859274072593,False,1791,16 11 10 3 8,80.0 80.0 80.0 80.0 80.0,1 10 0 0,5,0.50157,0.54785,109.78548145185482,620.0
True,20000,grid_5_5,tpbp_util1,1,20,tpbp_util1_grid_5_5_1,284.8622882288229,False,1399,0 20 21 6,80.0 80.0 80.0 80.0,1 10 0 0,5,0.6928625,0.8379,173.9275927592759,678.0
True,20000,grid_5_5,tpbp_util1,3,2 8 21,tpbp_util1_grid_5_5_19,185.14010798920106,False,1199,8 2 13 21,60.0 60.0 60.0 60.0,1 10 0 0,5,0.4812875,0.64495,80.12973702629736,401.0
